В приложении 10 к Конвенции о международной ГА изложены,Рекомендуемая практика авиационной электросвязи,Стандарты авиационной электросвязи
Авиационная подвижная электросвязь предназначена для:,"обеспечения центров (пунктов) ОВД, аварийно-спасательных служб связью с экипажами ВС, терпящих или потерпевших бедствие",обеспечения центров (пунктов) ОВД радиотелефонной связью с ВС и передачи данных
Авиационная фиксированная электросвязь предназначена для:,обеспечения взаимодействия центров (пунктов) ОВД,обеспечения взаимодействия служб аэропортов в процессе осуществления производственной деятельности,передачи метеорологической и полетной информации,обеспечения деятельности производственно-диспетчерских служб и административно-управленческого персонала гражданской авиации,обеспечения взаимодействия с пользователями воздушного пространства,передачи данных,обеспечения взаимодействия центров планирования и организации потоков воздушного движения
"Категория срочности ДД присваивается телеграммам, имеющим сообщения:","о чрезвычайных происшествиях, повреждениях воздушных судов на земле",об ограничениях и запрещениях полетов по воздушным трассам и в районах аэродромов по всем причинам,"о распоряжениях по обеспечению полетов воздушных судов, выполняющих особо важные задания"
Какие средства используются для организации авиационной подвижной электросвязи?,средства радиосвязи ОВЧ диапазона,средства радиосвязи ВЧ диапазона,средства спутниковой связи
Авиационная электросвязь подразделяется на:,авиационную подвижную электросвязь,авиационную фиксированную электросвязь,авиационное радиовещание
Телеграмм передаваемым в сети авиационной фиксированной электросвязи ГА могут присваиваться одна из следующих категорий срочности:,ФФ,ГГ,ДД,СС,КК
"Укажите, какое оборудование не предусмотрено для монтажа и размещения в диспетчерском пульте:",аппаратура управления резервными дизель генераторами
Укажите срок обязательного хранения обработанных фотопленок (фотоснимков),Более 30 дней по распоряжению руководителя предприятия,30 дней
Выберите варианты электроснабжения для электроприёмников  особой группы первой категории:,электроснабжение осуществляется от трех независимых взаимно резервируемых источников питания с автоматическим восстановлением питания (переключением на резервный источник) при нарушении электроснабжения от одного из источников питания
Каков порядок включения и выключения средств РТОП и связи?,средства РТОП и связи должны включаться в работу и выключаться сменным инженером (техником) службы ЭРТОС самостоятельно,средства РТОП и связи должны включаться в работу и выключаться  через дежурного инженера (техника) объекта по указанию руководителя полётов (диспетчера)
Нормативное время перехода средств РТОП и связи на резерв,указано в инструкции по резервированию оборудования объекта РТОП и связи,указано в сводной таблице нормативного времени перехода на резерв объектов РТОП и АЭС
В оперативный журнал сменного инженера (техника) объекта вносятся,"записи о времени включения, выключения и всех нарушениях в работе оборудования и их причинах","записи о приеме объекта и дежурства, готовности объекта к работе, сдаче дежурства",записи о проведении стажировки на объекте,"записи об указаниях и распоряжениях, поступивших от должностных лиц во время дежурства",записи о результатах проверки объекта должностными лицами,записи о производстве работ на действующих электроустановках
Плановые остановки объектов РТОП и связи или одного из объектообразующих элементов продолжительностью до 8 часов проводятся,"с предварительным уведомлением об этом по сети АНС ПД и ТС взаимодействующих в обеспечении полетов ВС организаций и пользователей ВП не позднее, чем за 8 часов до начала таких остановок"
Каким образом производится проверка работоспособности радиосредств аварийно – спасательного канала?,"проведением связи на частоте 124,0 МГц не реже одного раза в месяц",проведением связи на рабочих частотах каналов ПОДХОД и РЦ не реже одного раза в месяц
Какие виды ремонта предусмотрены для средств РТОП и АЭС?,текущий,плановый
На аварийных ДЭС проверяется,частота вращения,напряжение на шинах аварийных электростанций,правильность работы устройства автоматического запуска дизель-генератора
Какой документ устанавливает периодичность и объем работ по техническому обслуживанию средств обеспечения пожарной безопасности в организации?,"Регламент технического обслуживания, составленный с учетом требований завода-изготовителя"
С какой периодичностью и в каком объеме необходимо проводить контроль стрел провеса и расстояния до элементов ВЛ 35-220 кВ?,Не реже одного раза в шесть лет (3 ± 5) % пролетов
"К какой категории по надежности электроснабжения, согласно Правилам устройства электроустановок, относятся осветительные установки городских транспортных и пешеходных тоннелей?",Ко второй категории
"Какая должна быть, как правило, длительность приложения полного испытательного напряжения для изолирующих средств защиты из слоистых диэлектриков?",5 минут
Укажите последовательность действий по восстановлению проходимости дыхательных путей и определению признаков жизни у пострадавшего.,"1) запрокинуть голову с подъемом подбородка; 2) выдвинуть нижнюю челюсть; 3) определить наличие дыхания с помощью слуха, зрения и осязания; 4) определить наличие кровообращения, проверить пульс на магистральных артериях"
В соответствии с какими документами должен выполнять переключения в электроустановках оперативный персонал объектов электроэнергетики и начальник смены объекта (НСО)?,По бланкам или типовым бланкам переключений
"Как должны маркироваться средства защиты, не выдержавшие испытания?",Штамп испытания должен быть перечеркнут красной краской
"Каким образом эксплуатирующими организациями определяются линии (участки линий), находящиеся под наведенным напряжением?",Путем выполнения измерений с последующим перерасчетом значений на наибольший рабочий ток влияющей ВЛ 
Какая периодичность проведения капитальных ремонтов устанавливается Правилами технической эксплуатации электроустановок потребителей для вакуумных выключателей?,1 раз в 10 лет
"При каком условии разрешается использовать для хозяйственных и производственных целей запас воды, предназначенный для нужд пожаротушения?","Использование для хозяйственных и производственных целей запаса воды, предназначенного для нужд пожаротушения, не допускается"
"От чего должны быть защищены металлические опоры и подножники, металлические детали железобетонных и деревянных опор, бетонные и железобетонные конструкции, а также древесина элементов деревянных опор?",От коррозии с учетом требований строительных норм и правил по защите строительных конструкций от коррозии
"Какое покрытие для защиты от механических повреждений должны иметь кабели напряжением 35 кВ и выше, проложенные в земле?",Покрытие из железобетонных плит толщиной не менее 50 мм
"Устройства РЗА или их ступени, которые по параметрам настройки и принципу действия могут ложно сработать вследствие несимметрии токов или напряжений, возникающей при операциях с переключающими устройствами в цепях устройств РЗА и коммутационными аппаратами первичной цепи, на время указанных операций должны быть:",Выведены из работы в соответствии с требованиями инструкции по оперативному обслуживанию (эксплуатации) устройств РЗА
Укажите перечень исчерпывающих мероприятий по оказанию первой помощи.,"1) оценка обстановки и обеспечение безопасных условий для оказания первой помощи; 2) вызов скорой медицинской помощи, других специальных служб, сотрудники которых обязаны оказывать первую помощь; 3) определение наличия сознания у пострадавшего; 4) восстановление проходимости дыхательных путей и определение признаков жизни у пострадавшего; 5) проведение сердечно-легочной реанимации до появления признаков жизни; 6) поддержание проходимости дыхательных путей; 7) осмотр пострадавшего и временная остановка наружного кровотечения; 8) подробный осмотр  пострадавшего в целях выявления признаков травм, отравлений и других состояний, угрожающих его жизни и здоровью и оказание первой помощи; 9) придание пострадавшему оптимального положения тела; 10) контроль состояния пострадавшего (сознание, дыхание, кровообращение) и оказание психологической поддержки; 11) передача пострадавшего бригаде скорой медицинской помощи, другим специальным службам, сотрудники которых обязаны оказывать первую помощь."
Как часто ответственный за электрохозяйство проводит осмотр аккумуляторных батарей? ,Один раз в месяц
"Какое минимальное расстояние, согласно Правилам устройства электроустановок, должно быть от места установки ВУ, ВРУ, ГРЩ до трубопроводов (водопровод, отопление, канализация, внутренние водостоки)?","Расстояние не менее 1,0 м"
С какой периодичностью должна промываться гравийная засыпка маслоприемников трансформаторов?,Не реже одного раза в год
Что необходимо сделать при обнаружении непригодности средств защиты? ,"Изъять из эксплуатации, сделать запись в журнале учета и содержания средств защиты об изъятии или в оперативной документации"
"Какую степень защиты, согласно Правилам устройства электроустановок, должны иметь устанавливаемые на чердаке электродвигатели, распределительные пункты, отдельно устанавливаемые коммутационные аппараты и аппараты защиты?",Степень защиты не ниже IP44
Как часто должен проводиться осмотр электродных котлов напряжением до 1000 В?,"Один раз в год, перед началом отопительного сезона"
Каким должно быть напряжение между токоведущими частями соседних аккумуляторов разных рядов в период нормальной работы (не заряда) при установке аккумуляторов в два ряда без прохода между рядами?,Не должно превышать 65 В
Укажите верный перечень исчерпывающих мероприятий по оценке обстановки и обеспечению безопасных условий для оказания первой помощи.,1) определение угрожающих факторов для собственной жизни и здоровья; 2) определение угрожающих факторов для жизни и здоровья пострадавшего; 3) устранение угрожающих факторов для жизни и здоровья; 4) прекращение действия повреждающих факторов на пострадавшего; 5) оценка количества пострадавших; 6) извлечение пострадавшего из транспортного средства или других труднодоступных мест; 7) перемещение пострадавшего
При каких условиях допускается параллельная работа трансформаторов?,"Группы соединений обмоток одинаковы; соотношение мощностей трансформаторов не более 1:3; коэффициенты трансформации отличаются не более чем на 0,5 %; напряжения короткого замыкания отличаются не более чем на 10 %; произведена фазировка трансформаторов"
"Где должен храниться использованный обтирочный материал (ветошь, бумага и др.)?",В металлических емкостях с плотно закрывающейся крышкой или утилизироваться в мусорный контейнер
"Разрешается ли шунтирование и расшунтирование межсекционного реактора развилками шинных разъединителей присоединений в схемах электрических соединений объекта переключений, в которых секции шин нормально замкнуты через межсекционный реактор? ",Запрещается
С какой периодичностью руководитель организации должен обеспечивать проведение проверки работоспособности систем и средств противопожарной защиты объекта?,Проверка работоспособности проводится в соответствии с регламентом технического обслуживания данной системы или средства
"Какие действия оказывающего помощь не относятся к мероприятиям по подробному осмотру пострадавшего в целях выявления признаков травм, отравлений и других состояний, угрожающих его жизни и здоровью, и по оказанию первой помощи в случае выявления указанных состояний:","1) осмотр пострадавшего на наличие кровотечений; 2) прекращение воздействия опасных химических веществ на пострадавшего проведением клистирования;  3) наложение гипсовых повязок при повреждении конечностей;  4) накрыть сухой чистой тканью, поверх ткани на 20-30 мин. приложить холод "
"Разрешается ли перекладывать участок кабеля, находящийся под напряжением, если на нем есть муфта, в электроустановках выше 1000 В?","Разрешается, если муфта укреплена хомутом на досках, температура кабеля не ниже 5 °С и работы ведутся под надзором ответственного руководителя работ, имеющего группу V"
В каком случае случае возможен вывод из работы блокировки оборудования и устройств релейной защиты и автоматики?,"Вывод из работы блокировки разрешается только после проверки и выяснения причины отказа блокировки по разрешению лица, уполномоченного на это распорядительным документом владельца объекта электроэнергетики"
"Во сколько раз уставка и время срабатывания устройства защитного отключения (УЗО), расположенного ближе к источнику питания должны быть больше уставки и времени срабатывания УЗО, расположенного ближе к потребителю, при двух- и многоступенчатой схемах?","Не менее, чем в три раза"
Допускается ли использовать средства защиты с истекшим сроком годности? ,Не допускается
Что необходимо предпринять при образовании на гравийной засыпке маслоприемников трансформаторов твердых отложений от нефтепродуктов толщиной более 3 мм? ,Заменить гравий
Каковы требования Правил к установке заземлений на воздушной линии электропередачи до 1000 В?,Достаточно установить заземление только на рабочем месте
Перечислите мероприятия по обзорному осмотру пострадавшего и временной остановке наружного кровотечения.,1) обзорный осмотр пострадавшего на наличие кровотечений; 2) пальцевое прижатие артерии; 3) наложение жгута; 4) максимальное сгибание конечности в суставе; 5) прямое давление на рану; 6) наложение давящей повязки.
В каком случае переключения в электроустановках напряжением выше 1000 В производятся без бланков переключений?,"Переключения в электроустановках, не относящиеся к сложным переключениям, и переключения в целях предотвращения развития и ликвидации нарушений нормального режима."
Как избежать появления электростатического заряда в процессе слива и залива трансформаторного масла в трансформаторы 110 кВ и выше? ,Заземлить вводы трансформаторов
"Разрешаются ли операции с коммутационными аппаратами, имеющими дистанционное управление, при наличии замыкания на землю в цепях оперативного тока?","Запрещаются до устранения замыкания на землю, за исключением операций для предотвращения развития и ликвидации нарушения нормального режима"
С какой периодичностью должны проводиться капитальные ремонты ВЛ на опорах с деревянными деталями?,Не реже одного раза в 5 лет
"С какой периодичностью должны проверяться наличие и состояние средств защиты работником, ответственным за их состояние, с записью результатов осмотра в журнал? ","Не реже 1 раза в 6 месяцев, а для переносных заземлений - не реже 1 раза в 3 месяца"
Кто дает разрешение на проведение земляных работ вблизи кабельных трасс?,"Организация, по территории которой проходит кабельная линия и организация, эксплуатирующая кабельные линии"
Что представляет собой система TN-C для электроустановок напряжением до 1 кВ?,"Система, в которой нулевой защитный и нулевой рабочий проводники совмещены в одном проводнике на всем ее протяжении"
"Какое количество плакатов «Не включать! Работа на линии» должно вывешиваться на приводах разъединителей, которыми отключена для выполнения работ ВЛ, КВЛ или КЛ, если на линии работает несколько бригад?","Один, не зависимо от числа работающих бригад"
Кто может записывать показания электросчетчиков в помещениях РУ?,"Работник энергоснабжающей организации, имеющий группу III в присутствии представителя потребителя"
С какой периодичностью должна проводиться перекатка пожарных рукавов?,Не реже 1 раза в год
Что необходимо выполнить после включения ЛЭП под нагрузку?,Должен быть выполнен обмен ВЧ-сигналами между приемопередатчиками защит
Какие работы должны быть проведены в организации до вывода основного оборудования электроустановок в ремонт?,Необходимо провести все перечисленные подготовительные работы
"Какое минимальное расстояние, согласно Правилам устройства электроустановок, рекомендуется принимать на территориях промышленных предприятий от опоры наружного освещения до проезжей части?",Расстояние не менее 1 м
Когда может быть снято заземление с провода (грозотроса) на промежуточной опоре при выполнении работ на воздушной линии электропередачи?   ,По окончании работы на опоре 
Перечислите мероприятия по проведению сердечно-легочной реанимации до появления признаков жизни.,"1) давление руками на грудину пострадавшего; 2) искусственное дыхание «Рот ко рту» (»Рот к носу», с использованием устройства для искусственного дыхания)"
"На каком этапе производится вызов скорой медицинской помощи, других специальных служб, сотрудники которых обязаны оказывать первую помощь в соответствии с федеральным законом или со специальным правилом согласно приказу Минздрава России от 04.05.2012 № 477н?",после обнаружения пострадавшего и оценки обстановки по обеспечению безопасных условий для оказания первой помощи
"Каковы требования Правил по охране труда при эксплуатации электроустановок при выполнении на воздушной линии электропередачи находящейся под напряжением, работ по удалению с проводов упавших деревьев?",Допускается выполнять с применением изолирующих штанг
Какие электроустановки и электрические приборы подлежат отключению по окончании рабочего времени?,"Электроустановки и бытовые электроприборы в помещениях, в которых по окончании рабочего времени отсутствует дежурный персонал"
Какой должна быть температура верхних слоев масла при номинальной нагрузке трансформатора с системой масляного охлаждения?,Не выше 95 °С
Где проходят проверку знаний по электробезопасности члены комиссий структурных подразделений организации?,В центральной комиссии Потребителя
Какое максимальное количество соединительных муфт для одножильных кабелей должно быть на 1 км вновь строящихся кабельных линий?,2 штук
Какое покрытие для защиты от механических повреждений должны иметь кабели напряжением ниже 35 кВ?,Покрытие должно быть выполнено плитами или глиняным обыкновенным кирпичом в один слой поперек трассы кабелей
Каким лицом принимается решение о применении типового бланка переключений в электроустановках?,"Лицом, выполняющим переключения"
Как должны выполняться работы по расчистке трассы воздушной линии электропередачи от деревьев?,По наряду или распоряжению
"Кто может выполнять переключения в РУ, на щитах и сборках напряжением до 1000 В?","Один работник из числа оперативного персонала, обслуживающий эти электроустановки"
Каким должно быть расстояние по горизонтали в свету между маслонаполненными кабелями 110-220 кВ и другими кабелями при параллельной прокладке кабельных линий?,Не менее 500 мм
Какие изолирующие электрозащитные средства необходимо использовать при выполнении операций с коммутационными аппаратами с ручным приводом на установках выше 1000 В?,Диэлектрические перчатки и средства защиты лица от воздействия электрической дуги.
Какие изолирующие электрозащитные средства необходимо использовать при снятии и установке предохранителей под напряжением в электроустановках выше 1000 В?,"Изолирующие клещи (штангу) с применением диэлектрических перчаток и средств защиты лица, глаз от механических воздействий и термических рисков электрической дуги"
Что является определением термина «Система сборных шин»?,"Комплект элементов, связывающих присоединения электрического распределительного устройства"
Какие из перечисленных электрозащитных средств и средств индивидуальной защиты не нумеруются для учета при вводе их в эксплуатацию? ,"Каски защитные, диэлектрические ковры, изолирующие подставки, плакаты безопасности, защитные ограждения, штанги для переноса и выравнивания потенциала"
"Какое обучение в обязательном порядке должны пройти сотрудники, чтобы получить допуск к работе на объекте?",Обучение мерам пожарной безопасности
Каким должно быть расстояние от людей и применяемых ими инструментов и приспособлений до неогражденных токоведущих частей в электроустановках напряжением 1-35 кВ?,"Не менее 0,6 м"
"Какие запрещающие плакаты вывешиваются на задвижках, закрывающих доступ воздуха в пневматические приводы разъединителей, во избежание подачи напряжения на рабочее место при проведении ремонта или планового осмотра оборудования?",«Не открывать! Работают люди»
Какой документ должны составить представители строительно-монтажной организации и организации-владельца электроустановки для производства работ на территории организации-владельца электроустановки?,Акт-допуск
От кого должен получить подтверждение об окончании работ и удалении всех бригад с рабочего места диспетчерский или оперативный персонал перед отдачей команды на снятие плаката «Не включать! Работа на линии!»?,"От работника из числа оперативного персонала, выдающего разрешение на подготовку рабочего места и на допуск "
"Кто определяет перечень профессий и рабочих мест, требующих отнесения производственного персонала к группе по электробезопасности I?",Руководитель организации (обособленного подразделения)
Как должны проводиться разработка и крепление грунта в выемках глубиной более 2 м?,По плану производства работ
В каком случае разрешается проверять отсутствие напряжения выверкой схемы в натуре?,В ОРУ и на комплектной трансформаторной подстанции наружной установки
"Какие плакаты должны быть вывешены на ограждениях камер, шкафах и панелях, граничащих с рабочим местом?",«Стой! Напряжение»
"Как должна выполняться замена проводов при работах на проводах и относящихся к ним изоляторах, арматуре, расположенных выше проводов, находящихся под напряжением?","По проекту производства работ, утвержденному руководителем организации "
Как должны выполняться осмотры газового реле после срабатывания?,После разгрузки и отключения трансформатора 
"Сколько человек должно быть в составе бригады, выполняющих работы по перетяжке и замене проводов на воздушных линиях электропередач напряжением до 1000 В?","Минимум два человека, причем производитель работ должен иметь IV группу по электробезопасности"
Каким образом разрешается выполнять проверку отключенного положения коммутационного аппарата в случае отсутствия видимого разрыва в комплектных распределительных устройствах заводского изготовления с выкатными элементами?,По механическому указателю гарантированного положения контактов 
Какие действия необходимо предпринять в случае обнаружения признаков протекания тока на землю?,Все перечисленные
Задачами обслуживания воздушного движения являются:,"уведомление о ВС, нуждающихся в помощи поисково-спасательных служб","предоставление консультаций и информации, необходимых для безопасного и эффективного производства полетов",ускорение и поддержание упорядоченного потока воздушного движения,предотвращение столкновений между ВС
По какому времени осуществляется ОВД?,по всемирному скоординированному времени
"Какая информация, используемая органами ОВД и летными экипажами ВС, подлежит регистрации специальными средствами?",радиообмен межу органом ОВД и летными экипажами ВС,"метеоинформация, передаваемая по радиоканалам",плановая информация,метеоконсультации летных экипажей и диспетчеров,переговоры диспетчеров органов ОВД,радиолокационная информация
Каков срок хранения материалов регистрации при использовании цифровых средств документирования?,30 суток
ФАП ОрВД обязательны для исполнения в РФ:,"Органами обслуживания воздушного движения, осуществляющими ОВД в установленных для них зонах и районах","Иными органами и организациями, участвующими в обеспечении полетов ВС"
Каков срок хранения материалов регистрации при использовании аналоговых средств документирования?,14 суток
Как проводятся ежесменные проверки качества работы средств РТОП и АЭС?,"должностные лица службы ЭРТОС должны отметить в журнале отзывов командиров ВС меры, принятые по устранению выявленных замечаний","диспетчер при приеме дежурства получает информацию о работоспособности средств РТОП и, при необходимости, проверяет оборудование","экипажи выполняющих полеты ВС, по указанию РП, ежесменно проверяют качество работы посадочного и навигационного оборудования аэропорта с записью в журнале отзывов командиров ВС"
В каких случаях могут быть выключены средства радиотехнического обеспечения полетов и авиационной электросвязи аэродрома?,по окончании связи вылетевшего ВС с органом диспетчерского обслуживания подхода,по окончании руления прибывшего на аэродром ВС,при отсутствии прилетов и вылетов ВС
С какой точностью должны работать часы и другие регистрирующие приборы в органах ОВД?,с точностью ± 30 секунд от UTC,с  точностью ± 1 секунда  от UTC при использовании органом ОВД линий передачи данных
Каков порядок включения средств радиотехнического обеспечения полетов и авиационной электросвязи аэродрома?,другие средства РТОП и АЭС включаются не позднее 30 минут до расчетного времени посадки (пролета) ВС,РМС и ОСП включаются не позднее 15 мин до расчетного времени посадки ВС
